OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT Divine Grace Nursery/Primary School (31050153),JnfpNdm872D,31050153,RqsATah9zZ6,PVT Divine Grace Nursery/Primary School (3105015,,2008-01-01,,,,,,,,,
PVT Divine Grace Academy (31050151),zXPDfOWtZrl,31050151,RqsATah9zZ6,PVT Divine Grace Academy (31050151),,2003-01-01,,,,,,,,,
PVT Diamond Private Nursery And Private School Furaka (31050148),hfRE5kAuh4P,31050148,RqsATah9zZ6,PVT Diamond Private Nursery And Private School F,,2005-01-01,,,,,,,,,
PVT Destiny Comprehensive School (Primary) (31050144),PcCgyaGZgdm,31050144,RqsATah9zZ6,PVT Destiny Comprehensive School (Primary) (3105,,2014-01-01,,,,,,,,,
PVT Deluxe Model School (31050143),Jl2GNo862HL,31050143,RqsATah9zZ6,PVT Deluxe Model School (31050143),,2012-01-01,,,,,,,,,
PVT Covenant Child Academy (31050134),qyUccAAOPDs,31050134,RqsATah9zZ6,PVT Covenant Child Academy (31050134),,2012-01-01,,,,,,,,,
PVT Cocin Salvation Nursery Primary School School Jenta Adamu Jos Plateau State (31050130),X6uflRWOyLl,31050130,RqsATah9zZ6,PVT Cocin Salvation Nursery Primary School Schoo,,2007-01-01,,,,,,,,,
PVT Cocin Gods Glory Academy Jenta Mangoro (31050125),cDHMXZufIOR,31050125,RqsATah9zZ6,PVT Cocin Gods Glory Academy Jenta Mangoro (3105,,2012-01-01,,,,,,,,,
PVT City Of Mercy Christian Academy Nursery And Primary School Rukuba Road (31050123),DKmVavvsB1r,31050123,RqsATah9zZ6,PVT City Of Mercy Christian Academy Nursery And ,,2014-01-01,,,,,,,,,
PVT Champions Academy Tundun Wada (31050113),opEdrkpW8mB,31050113,RqsATah9zZ6,PVT Champions Academy Tundun Wada (31050113),,2006-01-01,,,,,,,,,
PVT Canon Private School Jos (31050111),RU6nIOyfyDU,31050111,RqsATah9zZ6,PVT Canon Private School Jos (31050111),,1998-01-01,,,,,,,,,
PVT Calvary Sciences School (31050110),vsjcLEQdbnz,31050110,RqsATah9zZ6,PVT Calvary Sciences School (31050110),,1982-01-01,,,,,,,,,
PVT Calvary Anglican Church Primary School Tudun Wada (31050107),koMalk5pWl6,31050107,RqsATah9zZ6,PVT Calvary Anglican Church Primary School Tudun,,2011-01-01,,,,,,,,,
PVT By God;S Grace Private School (31050106),C1M53X3bEEe,31050106,RqsATah9zZ6,PVT By God;S Grace Private School (31050106),,2012-01-01,,,,,,,,,
PVT Bright Academy Jos (31050103),LkQtESno0R8,31050103,RqsATah9zZ6,PVT Bright Academy Jos (31050103),,2008-01-01,,,,,,,,,
